Date,India,U.S.,EUR,China,Quarter,Mean SDR
2019-03-31,0.0104652,0.721768,0.825242,0.10732,13,0.4161988
2019-06-30,0.0105129,0.726449,0.818882,0.107555,14,0.41584972500000006
2019-09-30,0.0105746,0.733852,0.817598,0.105811,15,0.4169589
2019-12-31,0.0103539,0.734203,0.81006,0.104242,16,0.414714725
2020-03-31,0.0102587,0.743009,0.818428,0.105615,17,0.419327675
2020-06-30,0.00975537,0.736259,0.820227,0.104045,18,0.41757159250000003
