,Year,Date,Description,FullDate,Country
227,2023,20-Apr,"SpaceX conducts the first full stack test launch of the world's most powerful rocket, Starship.",04/20/2023,
228,2023,5-May,World Health Organization ends the designation of COVID-19 as a public health emergency of international concern.,05/05/2023,
229,2023,6-May,Charles III is crowned king of the United Kingdom and Commonwealth realms.,05/06/2023,
230,2023,17-May,2023 Ecuadorian political crisis.,05/17/2023,
231,2023,2-Jun,2023 Odisha train collision.,06/02/2023,
232,2023,12-Jun,Kwara boat disaster.,06/12/2023,
233,2023,14-Jul,2023 SAG-AFTRA strike.,07/14/2023,
234,2023,26-Jul,2023 Nigerien coup d'état.,07/26/2023,
235,2023,23-Aug,ISRO's Chandrayaan 3 lands on the lunar south pole making India the 4th nation to successfully soft land on the Moon.,08/23/2023,
236,2023,30-Aug,2023 Gabonese coup d'état.,08/30/2023,
237,2023,8-Sep,2023 Marrakesh-Safi earthquake kills nearly 6000 people.,09/08/2023,
238,2023,10-Sep,"Storm Daniel becomes the deadiest Mediterranean storm in history, with over 4000 deaths in Libya.",09/10/2023,
239,2023,September 19 – 20,2023 Azerbaijani offensive in Nagorno-Karabakh.,,
240,2023,3-Oct,Kevin McCarthy's expulsion via a motion introduced by Matt Gaetz is the first ousting of a Speaker of the United States House of Representatives in history.,10/03/2023,
241,2023,7-Oct,Hamas attacks Israel; start of the Israel-Hamas war.,10/07/2023,
242,2023,7-Oct,2023 Herat earthquakes.,10/07/2023,
243,2023,23-Oct,2023 Guayana Esequiba crisis.,10/23/2023,
244,2023,27-Oct,"Operation 1027, a coordinated assault by anti-Junta forces in the Myanmar civil war, begins.",10/27/2023,
245,2023,24-Nov,Somalia admitted to East African Community.,11/24/2023,
246,2023,12-Dec,COP28 ends with world leaders pledging transition away from fossil fuels.,12/12/2023,
247,2023,18-Dec,Catholic Church releases Fiducia supplicans.,12/18/2023,
248,2023,31-Dec,Queen Margrethe II of Denmark announces her abdication on January 14 after 52 years on the throne.,12/31/2023,
