,Year,Date,Description,FullDate,Country
59,2016,20-Mar,Barack Obama becomes the first U.S. president to visit Cuba since Calvin Coolidge in 1928.,03/20/2016,Cuba
60,2016,3-Apr,"Panama Papers, a leak of legal documents, reveals information of 214,888 offshore companies.",04/03/2016,International
61,2016,9-May,"Rodrigo Duterte becomes President of the Philippines, and initiates a controversial drug war.",05/09/2016,Philippines
62,2016,1-Jun,"The Gotthard Base Tunnel, the world's longest and deepest railway tunnel, is completed.",06/01/2016,"Switzerland,Italy"
63,2016,12-Jun,"A shooter kills 49 people at a gay nightclub in Orlando, Florida.",06/12/2016,U.S.
64,2016,June 23 – July 13,"The people of the United Kingdom vote to leave the European Union; David Cameron resigns as a result, and Theresa May succeeds him as the second female Prime Minister of the UK.",,U.K.
65,2016,4-Jul,Juno enters orbit around Jupiter,07/04/2016,U.S.
66,2016,4-Sep,Mother Teresa is officially canonized by Pope Francis.,09/04/2016,EUR
67,2016,4-Nov,"The Paris Agreement, signed by 195 nations to fight global warming, formally goes into effect.",11/04/2016,International
68,2016,8-Nov,"Donald Trump wins the 2016 presidential election, in an upset against Hillary Clinton, the first woman to be nominated by a major party.",11/08/2016,U.S.
69,2017,20-Jan,Donald Trump is inaugurated as President of the United States.,01/20/2017,U.S.
70,2017,21-Jan,Millions of people participate in the Women's March in response to the inauguration of Donald Trump.,01/21/2017,U.S.
71,2017,13-Feb,"Kim Jong-nam, the half-brother of Kim Jong-Un, is assassinated in Kuala Lumpur, Malaysia.",02/13/2017,Malaysia
72,2017,13-May,"Pope Francis canonizes Jacinta and Francisco Marto, two of the three Fátima children who reported seeing the Virgin Mary in the spring and summer of 1917.",05/13/2017,EUR
73,2017,22-May,"A terrorist bombing attack at an Ariana Grande concert in Manchester, England kills 22 people and injures over 140.",05/22/2017,U.K.
74,2017,2-Jun,36 people are killed in an attack in Resorts World Manila.,06/02/2017,Philippines
75,2017,August 11 – 12,"Charlottesville, Virginia becomes the site of a far-right rally protesting the removal of Confederate statues throughout the US. During the event, a white supremacist rams his car into a crowd of counter-protesters, injuring 19 and killing one.",,U.S.
76,2017,September,"Two earthquakes strike Mexico on September 8 and September 19, killing over 400 people.",09/01/2017,Mexico
77,2017,1-Oct,60 people are killed in a mass shooting at a music festival in Las Vegas.,10/01/2017,U.S.
78,2017,14-Oct,"A bombing in Mogadishu, Somalia kills 587 people and injures 316. It is one of the deadliest terrorist attacks in modern history.",10/14/2017,Somalia
79,2017,28-Oct,"'Oumuamua, the first known interstellar object, is identified.",10/28/2017,International
80,2017,5-Nov,"26 people are killed in a church shooting in Sutherland Springs, Texas.",11/05/2017,U.S.
81,2018,24-Mar,March for Our Lives occurs in 900 locations worldwide in response to the 14 February Parkland shooting.,03/24/2018,U.S.
82,2018,12-Jun,The first summit between the US and North Korea and the first ever crossing of the Korean Demilitarized Zone by a North Korean leader occur.,06/12/2018,"Singapore,North Korea"
